label ,stack_size             ,nop_ratio            ,leaveq_ratio          ,mov_ratio           ,add_ratio            ,inc_add_ratio           ,shr_div_ratio
icc   ,200.34782608695653     ,0.16258570029382957  , 0.0                  ,0.33491817990872813 ,0.18183727635523478  , 37.2                   ,  5.241379310344827
icc   ,136.4                  ,0.22580645161290322  , 0.0                  ,0.28607629614409974 ,0.3042257379631532   , 28.2                   , 39.5
icc   ,140.30769230769232     ,0.1972534332084894   , 0.0                  ,0.3190463272749194  ,0.27163396328781986  , 23.2                   ,  7.6
icc   ,144.53333333333333     ,0.22765598650927488  , 0.0                  ,0.28336293289356845 ,0.2850437650640619   , 33.0                   , 48.5
icc   ,211.86206896551724     ,0.21634615384615385  , 0.0                  ,0.3046308587766772  ,0.23830797508424384  , 46.4                   , 48.5
icc   ,158.57142857142858     ,0.21451104100946372  , 0.0                  ,0.3025354423565001  ,0.2352654651729177   , 72.2                   , 12.8
icc   ,144.8421052631579      ,0.23211169284467714  , 0.0                  ,0.27815693363337884 ,0.3257461172390895   , 22.8                   , 37.5
icc   ,144.7111111111111      ,0.1850989522700815   , 0.0                  ,0.318818306010929   ,0.2580828779599271   , 26.6                   ,  5.933333333333334
icc   ,145.3658536585366      ,0.2332761578044597   , 0.0                  ,0.2788555751518714  ,0.2956430857665426   , 30.6                   , 39.5
icc   ,141.12820512820514     ,0.231433506044905    , 0.0                  ,0.2770977075450701  ,0.3276578381185548   , 20.2                   , 34.0
icc   ,167.6                  ,0.22673434856175972  , 0.0                  ,0.28528698195353785 ,0.2979161819934195   , 36.0                   , 52.5
icc   ,163.69230769230768     ,0.22789115646258504  , 0.0                  ,0.2797016515716569  ,0.31546794530278816  , 21.2                   , 36.0
icc   ,149.55555555555554     ,0.2329246935201401   , 0.0                  ,0.2778795468989495  ,0.32984410632173167  , 19.8                   , 34.0
icc   ,154.47619047619048     ,0.23181049069373943  , 0.0                  ,0.2820621514983533  ,0.2957576548080999   , 29.2                   , 41.5
icc   ,170.46153846153845     ,0.18181818181818182  , 0.0                  ,0.3236852365771427  ,0.21575193229513084  , 46.6                   ,  5.742857142857143
icc   ,144.58536585365854     ,0.1982651796778191   , 0.0                  ,0.31662663307750893 ,0.26571562481691957  , 24.2                   , 45.0
icc   ,177.53846153846155     ,0.19199057714958775  , 0.0                  ,0.3241390180471274  ,0.2431765045840229   , 27.4                   ,  5.461538461538462
icc   ,136.67796610169492     ,0.1827354260089686   , 0.0                  ,0.32797750552319743 ,0.2297901184976903   , 28.6                   ,  7.142857142857143
icc   ,215.78378378378378     ,0.22169059011164274  , 0.0                  ,0.306900073767236   ,0.26388810077739316  , 37.8                   ,  6.055555555555555
icc   ,172.72727272727272     ,0.233502538071066    , 0.0                  ,0.2887483976226547  ,0.28219321757370935  , 29.8                   ,106.5
icc   ,2408.5853658536585     ,0.19506172839506172  , 0.0                  ,0.32079016114356157 ,0.2651677478059233   , 25.4                   ,  9.9
icc   ,2058.9268292682927     ,0.1948529411764706   , 0.0                  ,0.32094077475568117 ,0.26598375132462027  , 25.0                   ,  9.6
icc   ,140.0701754385965      ,0.18418079096045198  , 0.0                  ,0.3255363528009535  ,0.22792510925705203  , 30.2                   ,  5.0
icc   ,196.92307692307693     ,0.18007662835249041  , 0.0                  ,0.3098429550984296  ,0.2066135810661358   , 38.2                   ,  4.3428571428571425
icc   ,209.57142857142858     ,0.18890200708382526  , 0.0                  ,0.33397414331715286 ,0.2217763252751478   , 52.4                   , 90.5
icc   ,147.55555555555554     ,0.18466898954703834  , 0.0                  ,0.3183924509225714  ,0.25500603813856826  , 29.0                   ,  6.066666666666666
icc   ,146.15384615384616     ,0.22757475083056478  , 0.0                  ,0.28867897927534186 ,0.26888481601579023  , 31.8                   , 14.833333333333334
icc   ,209.4814814814815      ,0.18289473684210528  , 0.0                  ,0.31254161022980326 ,0.21396267131935995  , 36.4                   ,  5.666666666666667
icc   ,774.1818181818181      ,0.1965389369592089   , 0.0                  ,0.32080991166685785 ,0.26170127337386717  , 28.2                   ,  5.578947368421052
icc   ,708.6511627906976      ,0.22542372881355932  , 0.0                  ,0.29093954111539105 ,0.2980405292245855   , 25.2                   ,  6.230769230769231
icc   ,141.6                  ,0.22984562607204118  , 0.0                  ,0.2847009339131675  ,0.3151778712483068   , 22.4                   , 47.0
icc   ,633.4426229508197      ,0.1891891891891892   , 0.0                  ,0.34240125555846196 ,0.20439881419478595  , 52.4                   ,  3.508771929824561
icc   ,144.21052631578948     ,0.23130434782608697  , 0.0                  ,0.2776805984591909  ,0.3288548140980312   , 20.4                   , 24.333333333333332
icc   ,152.0                  ,0.22537562604340566  , 0.0                  ,0.2851592851592852  ,0.31313131313131315  , 23.2                   , 37.5
icc   ,135.46666666666667     ,0.22537562604340566  , 0.0                  ,0.2953515270874363  ,0.28050267279377283  , 33.0                   , 10.5
icc   ,147.8918918918919      ,0.2309027777777778   , 0.0                  ,0.2769317329332333  ,0.3309452363090773   , 19.8                   , 34.0
icc   ,152.64864864864865     ,0.23050259965337955  , 0.0                  ,0.27866420637504974 ,0.3197655486812113   , 21.6                   , 37.0
icc   ,147.67567567567568     ,0.23374340949033393  , 0.0                  ,0.27753848458743774 ,0.33053672422188096  , 19.8                   , 34.0
icc   ,135.21951219512195     ,0.23156089193825044  , 0.0                  ,0.288725604282342   ,0.29783555540778667  , 34.4                   , 11.0
icc   ,143.4                  ,0.2281303602058319   , 0.0                  ,0.2832506415739949  ,0.30384944396920444  , 22.6                   ,  9.0
icc   ,145.72972972972974     ,0.23304347826086957  , 0.0                  ,0.28017766315638654 ,0.31678486997635935  , 20.0                   , 37.0
icc   ,152.0                  ,0.23339011925042588  , 0.0                  ,0.2814844587352626  ,0.302518756698821    , 29.2                   , 41.5
icc   ,201.50943396226415     ,0.21647819063004847  , 0.0                  ,0.30121789133913796 ,0.25101038869449643  , 37.0                   , 46.5
icc   ,230.5287356321839      ,0.172978505629478    , 0.0                  ,0.336530495774959   ,0.1811704928293967   , 86.0                   ,  6.205882352941177
icc   ,615.0886075949367      ,0.1640625            , 0.0                  ,0.32770693334744344 ,0.17228424784380125  , 89.2                   ,  4.836363636363636
icc   ,149.11111111111111     ,0.23333333333333334  , 0.0                  ,0.2783193029094668  ,0.3263550435681583   , 22.8                   , 34.0
icc   ,174.66666666666666     ,0.215962441314554    , 0.0                  ,0.29176404119263466 ,0.23955417447802974  , 53.8                   ,114.0
